pk,type,doubleHeader,id,gamedayType,tiebreaker,gameNumber,calendarEventID,season,seasonDisplay,home_id,away_id,venue_id
565514,R,N,2019/04/10/clemlb-detmlb-1,P,N,1,14-565514-2019-04-10,2019,2019,116,114,2394
567014,R,N,2019/08/02/kcamlb-minmlb-1,P,N,1,14-567014-2019-08-02,2019,2019,142,118,3312
565522,R,N,2019/05/03/kcamlb-detmlb-1,P,N,1,14-565522-2019-05-03,2019,2019,116,118,2394
565576,R,N,2019/09/01/minmlb-detmlb-1,P,N,1,14-565576-2019-09-01,2019,2019,116,142,2394
565628,R,N,2019/05/22/chamlb-houmlb-1,P,N,1,14-565628-2019-05-22,2019,2019,117,145,2392
567516,R,S,2019/08/03/bosmlb-nyamlb-1,P,N,1,14-567516-2019-08-03,2019,2019,147,111,3313
565618,R,N,2019/04/28/clemlb-houmlb-1,P,N,1,14-565618-2019-04-28,2019,2019,117,114,2392
567505,R,N,2019/07/14/tormlb-nyamlb-1,P,N,1,14-567505-2019-07-14,2019,2019,147,141,3313
566277,R,N,2019/03/30/sfnmlb-sdnmlb-1,P,N,1,14-566277-2019-03-30,2019,2019,135,137,2680
566256,R,N,2019/09/25/chnmlb-pitmlb-1,P,N,1,14-566256-2019-09-25,2019,2019,134,112,31
567139,R,N,2019/09/29/miamlb-phimlb-1,P,N,1,14-567139-2019-09-29,2019,2019,143,146,2681
566976,R,N,2019/04/30/houmlb-minmlb-1,P,N,1,14-566976-2019-04-30,2019,2019,142,117,3312
565443,R,N,2019/06/01/tormlb-colmlb-1,P,N,1,14-565443-2019-06-01,2019,2019,115,141,19
566842,R,N,2019/09/15/oakmlb-texmlb-1,P,N,1,14-566842-2019-09-15,2019,2019,140,133,13
567106,R,N,2019/07/15/lanmlb-phimlb-1,P,N,1,14-567106-2019-07-15,2019,2019,143,119,2681
